 ,Area,X,Y,XM,YM,Circ.,%Area,AR,Round,Solidity
1,1.575E-5,4.105,0.010,4.105,0.010,1.000,100.000,1.000,1.000,1.000
2,1.575E-5,4.129,0.010,4.129,0.010,1.000,100.000,1.000,1.000,1.000
3,1.575E-5,0.022,0.014,0.022,0.014,1.000,100.000,1.000,1.000,1.000
4,3.149E-5,0.036,0.014,0.036,0.014,1.000,100.000,2.000,0.500,1.000
5,0.012,1.612,0.078,1.612,0.078,0.897,100.000,1.246,0.803,0.952
6,0.016,2.226,0.078,2.226,0.078,0.666,100.000,2.111,0.474,0.915
7,0.025,1.785,0.119,1.785,0.121,0.541,92.379,1.409,0.709,0.853
8,0.012,3.888,0.092,3.888,0.092,0.856,97.338,1.269,0.788,0.940
9,0.009,3.133,0.076,3.133,0.076,0.824,100.000,1.303,0.767,0.931
10,0.024,3.708,0.149,3.708,0.149,0.482,98.198,1.636,0.611,0.829
11,0.017,0.247,0.121,0.247,0.121,0.754,99.538,1.546,0.647,0.935
12,0.011,0.940,0.092,0.940,0.092,0.890,100.000,1.239,0.807,0.953
13,0.005,4.472,0.077,4.472,0.076,0.694,99.365,1.194,0.837,0.887
14,0.016,0.399,0.120,0.399,0.120,0.884,100.000,1.127,0.887,0.953
15,0.012,4.218,0.111,4.218,0.111,0.881,99.115,1.257,0.795,0.947
16,0.072,1.323,0.218,1.324,0.217,0.419,96.733,1.401,0.714,0.857
17,0.010,2.997,0.106,2.997,0.106,0.903,100.000,1.067,0.937,0.958
18,0.029,4.677,0.140,4.675,0.138,0.839,79.968,1.530,0.654,0.963
19,0.026,2.611,0.139,2.612,0.139,0.853,94.335,1.199,0.834,0.961
20,0.022,0.594,0.147,0.594,0.146,0.895,97.305,1.232,0.812,0.966
21,0.013,2.409,0.142,2.409,0.142,0.921,100.000,1.137,0.880,0.960
22,0.009,0.787,0.135,0.787,0.135,0.888,100.000,1.348,0.742,0.948
23,0.009,3.390,0.151,3.390,0.151,0.727,100.000,1.887,0.530,0.912
24,0.006,1.934,0.141,1.934,0.141,0.875,100.000,1.152,0.868,0.943
25,0.010,2.045,0.171,2.045,0.171,0.926,100.000,1.070,0.935,0.954
26,0.036,4.430,0.226,4.432,0.227,0.818,83.680,1.566,0.638,0.966
27,0.033,3.248,0.222,3.248,0.222,0.903,100.000,1.099,0.910,0.971
28,0.004,3.994,0.162,3.994,0.162,0.841,100.000,1.106,0.904,0.910
29,0.006,2.911,0.185,2.911,0.185,0.922,100.000,1.089,0.918,0.940
30,0.012,4.911,0.212,4.911,0.212,0.370,96.503,1.819,0.550,0.855
31,0.007,1.690,0.194,1.690,0.194,0.931,100.000,1.213,0.825,0.952
32,0.006,3.602,0.197,3.602,0.197,0.896,99.744,1.323,0.756,0.949
33,0.033,0.932,0.265,0.932,0.266,0.492,95.496,1.490,0.671,0.841
34,0.047,2.287,0.337,2.286,0.337,0.378,96.185,1.545,0.647,0.759
35,0.009,4.109,0.252,4.109,0.252,0.811,100.000,1.560,0.641,0.944
36,0.003,4.215,0.222,4.216,0.222,0.890,97.297,1.138,0.879,0.914
37,1.575E-5,4.966,0.196,4.966,0.196,1.000,100.000,1.000,1.000,1.000
38,0.020,2.761,0.286,2.762,0.286,0.843,96.473,1.288,0.776,0.961
39,1.575E-5,4.938,0.200,4.938,0.200,1.000,100.000,1.000,1.000,1.000
40,1.575E-5,4.974,0.200,4.974,0.200,1.000,100.000,1.000,1.000,1.000
41,0.019,2.504,0.301,2.504,0.301,0.510,100.000,1.855,0.539,0.828
42,0.012,3.066,0.274,3.066,0.274,0.886,100.000,1.173,0.852,0.954
43,0.022,3.889,0.294,3.889,0.294,0.813,100.000,1.562,0.640,0.956
44,0.006,0.776,0.265,0.776,0.265,0.873,100.000,1.218,0.821,0.923
45,1.575E-5,4.923,0.220,4.923,0.220,1.000,100.000,1.000,1.000,1.000
46,1.575E-5,4.935,0.224,4.935,0.224,1.000,100.000,1.000,1.000,1.000
47,0.033,0.316,0.317,0.316,0.318,0.886,89.720,1.187,0.843,0.968
48,0.009,1.585,0.286,1.585,0.286,0.837,100.000,1.519,0.658,0.937
49,0.014,2.005,0.310,2.005,0.310,0.770,99.767,1.353,0.739,0.941
50,0.027,0.565,0.330,0.566,0.330,0.900,93.247,1.101,0.908,0.963
51,0.005,1.707,0.293,1.707,0.293,0.869,100.000,1.122,0.891,0.928
52,0.023,1.849,0.345,1.849,0.345,0.904,99.653,1.074,0.931,0.969
53,0.012,3.461,0.332,3.461,0.332,0.865,100.000,1.412,0.708,0.949
54,0.013,4.756,0.333,4.756,0.332,0.903,99.152,1.079,0.927,0.954
55,0.031,4.310,0.387,4.310,0.387,0.837,97.102,1.401,0.714,0.959
56,9.763E-4,2.863,0.305,2.863,0.305,0.818,100.000,1.297,0.771,0.844
57,0.004,3.335,0.351,3.335,0.351,0.886,100.000,1.253,0.798,0.924
58,0.015,3.595,0.385,3.595,0.385,0.909,99.893,1.068,0.936,0.955
59,0.014,2.092,0.398,2.092,0.398,0.906,100.000,1.205,0.830,0.955
60,0.007,1.160,0.382,1.160,0.382,0.893,100.000,1.111,0.900,0.938
61,0.003,0.168,0.370,0.168,0.370,0.901,100.000,1.202,0.832,0.924
62,0.013,2.912,0.402,2.912,0.402,0.905,100.000,1.239,0.807,0.957
63,0.006,4.855,0.392,4.855,0.391,0.602,96.783,1.714,0.583,0.887
64,0.004,1.472,0.378,1.472,0.378,0.933,100.000,1.218,0.821,0.953
65,0.005,3.234,0.386,3.235,0.386,0.817,98.187,1.408,0.710,0.921
66,0.007,3.748,0.400,3.748,0.400,0.823,100.000,1.687,0.593,0.938
67,0.016,0.763,0.451,0.763,0.451,0.525,99.806,1.993,0.502,0.839
68,0.014,4.641,0.428,4.641,0.428,0.862,100.000,1.401,0.714,0.957
69,0.010,1.055,0.423,1.055,0.423,0.920,100.000,1.097,0.912,0.953
70,0.007,2.630,0.414,2.630,0.414,0.910,100.000,1.136,0.880,0.941
71,0.004,1.361,0.415,1.361,0.415,0.864,100.000,1.310,0.764,0.935
72,0.017,3.109,0.448,3.109,0.448,0.904,99.906,1.092,0.916,0.956
73,0.041,3.999,0.496,3.998,0.498,0.889,90.131,1.160,0.862,0.971
74,0.005,4.159,0.423,4.159,0.423,0.803,99.130,1.307,0.765,0.924
75,0.016,1.692,0.466,1.692,0.466,0.849,100.000,1.560,0.641,0.953
76,0.007,0.076,0.455,0.076,0.455,0.891,100.000,1.052,0.950,0.938
77,0.046,0.268,0.555,0.268,0.555,0.780,99.118,1.298,0.770,0.937
78,0.008,2.457,0.486,2.457,0.486,0.849,100.000,1.275,0.785,0.939
79,0.023,0.524,0.523,0.524,0.523,0.892,99.723,1.159,0.863,0.965
80,0.034,3.280,0.550,3.280,0.550,0.908,96.264,1.049,0.954,0.969
81,0.010,1.490,0.495,1.490,0.495,0.894,100.000,1.252,0.799,0.956
82,0.031,3.760,0.545,3.759,0.547,0.852,82.087,1.167,0.857,0.968
83,0.025,0.910,0.539,0.910,0.540,0.898,91.863,1.081,0.925,0.965
84,0.005,1.233,0.501,1.233,0.501,0.889,100.000,1.190,0.840,0.932
85,0.083,2.713,0.607,2.714,0.608,0.888,81.083,1.254,0.798,0.981
86,0.009,3.537,0.518,3.537,0.518,0.915,100.000,1.330,0.752,0.956
87,0.013,1.118,0.538,1.118,0.538,0.900,100.000,1.151,0.869,0.955
88,0.014,4.769,0.551,4.770,0.552,0.883,94.700,1.279,0.782,0.955
89,0.007,2.987,0.532,2.987,0.532,0.860,100.000,1.444,0.692,0.936
90,0.009,4.583,0.547,4.583,0.547,0.896,100.000,1.128,0.886,0.951
91,0.013,4.907,0.573,4.909,0.574,0.708,79.408,1.685,0.593,0.923
92,0.042,1.351,0.628,1.351,0.628,0.870,99.813,1.316,0.760,0.972
93,0.020,1.879,0.593,1.879,0.593,0.871,100.000,1.275,0.784,0.964
94,0.010,2.144,0.594,2.144,0.594,0.897,100.000,1.117,0.895,0.956
95,0.012,2.368,0.628,2.368,0.628,0.904,100.000,1.153,0.868,0.951
96,1.575E-5,5.042,0.565,5.042,0.565,1.000,100.000,1.000,1.000,1.000
97,1.575E-5,4.994,0.573,4.994,0.573,1.000,100.000,1.000,1.000,1.000
98,0.018,4.186,0.663,4.187,0.662,0.852,95.951,1.256,0.796,0.952
99,0.019,3.462,0.657,3.462,0.657,0.824,99.833,1.579,0.633,0.953
100,1.575E-5,5.018,0.589,5.018,0.589,1.000,100.000,1.000,1.000,1.000
101,1.575E-5,5.026,0.589,5.026,0.589,1.000,100.000,1.000,1.000,1.000
102,0.006,0.458,0.637,0.458,0.637,0.902,100.000,1.178,0.849,0.935
103,0.016,0.702,0.680,0.702,0.680,0.806,100.000,1.729,0.578,0.948
104,0.022,4.472,0.682,4.476,0.681,0.908,79.214,1.037,0.965,0.966
105,1.575E-5,5.034,0.601,5.034,0.601,1.000,100.000,1.000,1.000,1.000
106,0.013,1.769,0.685,1.769,0.685,0.795,100.000,1.850,0.540,0.933
107,1.575E-5,5.030,0.609,5.030,0.609,1.000,100.000,1.000,1.000,1.000
108,0.017,1.076,0.678,1.076,0.678,0.889,99.814,1.208,0.828,0.956
109,0.018,1.632,0.705,1.632,0.705,0.891,98.582,1.134,0.882,0.957
110,0.023,2.024,0.716,2.024,0.716,0.897,98.897,1.156,0.865,0.966
